Job Title,Experience,location,Work Type,Company Size,Qualifications,salary_avg,exp_category
art teacher,0 to 15 Years,Helsinki,Contract,Small,B.Com,84000.0,Fresher (0 yrs)
legal assistant,4 to 15 Years,Beijing,Part-Time,Large,M.Com,72500.0,Mid (3-5 yrs)
software engineer,2 to 9 Years,Yaren District (de facto),Part-Time,Enterprise,BA,88500.0,Junior (1-2 yrs)
paralegal,5 to 8 Years,Sarajevo,Temporary,Small,M.Com,88000.0,Mid (3-5 yrs)
marketing manager,5 to 8 Years,Bern,Full-Time,Enterprise,PhD,72000.0,Mid (3-5 yrs)
systems administrator,1 to 10 Years,Mexico City,Temporary,Large,B.Tech,76000.0,Junior (1-2 yrs)
business development manager,5 to 9 Years,Belmopan,Part-Time,Enterprise,BCA,90500.0,Mid (3-5 yrs)
back-end developer,4 to 12 Years,Accra,Part-Time,Medium,BBA,69000.0,Mid (3-5 yrs)
event coordinator,5 to 10 Years,Luxembourg,Full-Time,Medium,M.Com,84000.0,Mid (3-5 yrs)
account executive,5 to 13 Years,Nuuk,Contract,Medium,M.Tech,72500.0,Mid (3-5 yrs)
software architect,3 to 9 Years,Mbabane,Intern,Large,BBA,91000.0,Mid (3-5 yrs)
civil engineer,3 to 14 Years,Amman,Intern,Large,BBA,68500.0,Mid (3-5 yrs)
registered nurse,4 to 14 Years,Oslo,Intern,Enterprise,B.Com,91000.0,Mid (3-5 yrs)
financial analyst,0 to 15 Years,New Delhi,Contract,Large,BA,72500.0,Fresher (0 yrs)
content writer,3 to 8 Years,Thimphu,Part-Time,Enterprise,M.Tech,92500.0,Mid (3-5 yrs)
substance abuse counselor,5 to 8 Years,Roseau,Full-Time,Enterprise,B.Com,83000.0,Mid (3-5 yrs)
speech therapist,2 to 12 Years,Palikir,Temporary,Enterprise,B.Tech,74500.0,Junior (1-2 yrs)
project manager,4 to 9 Years,Yaren District (de facto),Intern,Enterprise,B.Com,82500.0,Mid (3-5 yrs)
seo analyst,1 to 15 Years,Apia,Intern,Large,BBA,77500.0,Junior (1-2 yrs)
nurse practitioner,2 to 9 Years,Algiers,Temporary,Small,BA,71500.0,Junior (1-2 yrs)
sales consultant,1 to 14 Years,BogotÃ¡,Intern,Enterprise,M.Tech,93500.0,Junior (1-2 yrs)
office manager,3 to 13 Years,Phnom Penh,Contract,Enterprise,BA,71500.0,Mid (3-5 yrs)
landscape designer,4 to 12 Years,Seoul,Part-Time,Medium,M.Com,83500.0,Mid (3-5 yrs)
systems engineer,3 to 14 Years,Saint John's,Temporary,Small,B.Com,95000.0,Mid (3-5 yrs)
hr coordinator,3 to 14 Years,Port of Spain,Part-Time,Small,BA,80000.0,Mid (3-5 yrs)
market research analyst,0 to 15 Years,Saint John's,Temporary,Large,MCA,93000.0,Fresher (0 yrs)
procurement coordinator,4 to 8 Years,Manila,Contract,Medium,BA,94500.0,Mid (3-5 yrs)
psychologist,2 to 10 Years,Vientiane,Contract,Enterprise,BA,87000.0,Junior (1-2 yrs)
executive assistant,1 to 13 Years,Maseru,Temporary,Medium,BCA,87500.0,Junior (1-2 yrs)
software tester,3 to 8 Years,Tokyo,Temporary,Enterprise,B.Com,72000.0,Mid (3-5 yrs)
legal counsel,5 to 15 Years,Kampala,Part-Time,Enterprise,B.Tech,75000.0,Mid (3-5 yrs)
family nurse practitioner,5 to 14 Years,Gaza,Intern,Enterprise,B.Com,81500.0,Mid (3-5 yrs)
social media manager,4 to 15 Years,Managua,Part-Time,Small,M.Com,76500.0,Mid (3-5 yrs)
urban planner,0 to 9 Years,Bratislava,Contract,Large,BCA,88000.0,Fresher (0 yrs)
electrical designer,3 to 14 Years,Ljubljana,Part-Time,Large,BA,77000.0,Mid (3-5 yrs)
brand manager,5 to 15 Years,Belgrade,Contract,Large,BBA,74500.0,Mid (3-5 yrs)
civil engineer,0 to 8 Years,Pristina,Full-Time,Large,BBA,78000.0,Fresher (0 yrs)
qa analyst,0 to 9 Years,Kingstown,Intern,Small,M.Tech,78000.0,Fresher (0 yrs)
customer support specialist,3 to 12 Years,Tallinn,Temporary,Enterprise,BCA,78000.0,Mid (3-5 yrs)
finance manager,2 to 14 Years,Abu Dhabi,Intern,Small,MCA,85000.0,Junior (1-2 yrs)
physician assistant,5 to 11 Years,Palikir,Intern,Large,PhD,70000.0,Mid (3-5 yrs)
structural engineer,4 to 14 Years,Maputo,Intern,Small,PhD,87000.0,Mid (3-5 yrs)
copywriter,0 to 15 Years,Hagatna,Full-Time,Small,BCA,82000.0,Fresher (0 yrs)
teacher,3 to 11 Years,Buenos Aires,Temporary,Medium,BA,94000.0,Mid (3-5 yrs)
digital marketing specialist,1 to 9 Years,Santo Domingo,Part-Time,Large,MCA,92500.0,Junior (1-2 yrs)
tax consultant,5 to 9 Years,"Malabo (de jure),",Contract,Medium,B.Com,92000.0,Mid (3-5 yrs)
marketing director,3 to 11 Years,Kabul,Contract,Medium,B.Tech,95000.0,Mid (3-5 yrs)
front-end developer,2 to 8 Years,Mexico City,Contract,Enterprise,PhD,85000.0,Junior (1-2 yrs)
physical therapist,4 to 10 Years,Kabul,Part-Time,Small,BA,83000.0,Mid (3-5 yrs)
project manager,2 to 13 Years,Kabul,Intern,Small,MCA,86500.0,Junior (1-2 yrs)
software tester,5 to 8 Years,Gaborone,Temporary,Small,BBA,87000.0,Mid (3-5 yrs)
back-end developer,0 to 13 Years,Port of Spain,Part-Time,Large,M.Com,78000.0,Fresher (0 yrs)
ux/ui designer,3 to 15 Years,Apia,Part-Time,Enterprise,M.Tech,93000.0,Mid (3-5 yrs)
physician assistant,0 to 8 Years,Santiago,Temporary,Large,B.Com,90500.0,Fresher (0 yrs)
sem specialist,4 to 15 Years,Canberra,Intern,Large,PhD,76500.0,Mid (3-5 yrs)
environmental consultant,5 to 10 Years,Marigot,Temporary,Medium,M.Tech,78500.0,Mid (3-5 yrs)
procurement manager,0 to 12 Years,Luxembourg,Intern,Medium,M.Tech,90000.0,Fresher (0 yrs)
customer support specialist,5 to 14 Years,Dakar,Part-Time,Large,M.Com,84500.0,Mid (3-5 yrs)
network engineer,3 to 13 Years,Antananarivo,Contract,Large,MCA,91000.0,Mid (3-5 yrs)
mechanical designer,2 to 10 Years,Luxembourg,Temporary,Enterprise,MCA,70500.0,Junior (1-2 yrs)
investment analyst,1 to 9 Years,Quito,Temporary,Small,PhD,81000.0,Junior (1-2 yrs)
legal advisor,1 to 12 Years,Cairo,Temporary,Medium,B.Tech,83500.0,Junior (1-2 yrs)
social media coordinator,1 to 8 Years,London,Full-Time,Small,MCA,79500.0,Junior (1-2 yrs)
event coordinator,5 to 8 Years,Saint George's,Full-Time,Small,M.Com,83500.0,Mid (3-5 yrs)
architectural designer,5 to 15 Years,Budapest,Full-Time,Medium,B.Com,69500.0,Mid (3-5 yrs)
family nurse practitioner,2 to 13 Years,Honiara,Part-Time,Large,BA,94500.0,Junior (1-2 yrs)
architectural designer,1 to 11 Years,Luanda,Intern,Medium,B.Tech,91000.0,Junior (1-2 yrs)
legal assistant,4 to 12 Years,Nuuk,Temporary,Medium,MCA,94000.0,Mid (3-5 yrs)
financial analyst,0 to 8 Years,Jakarta,Part-Time,Medium,BCA,90500.0,Fresher (0 yrs)
art teacher,4 to 8 Years,Roseau,Part-Time,Enterprise,M.Tech,83500.0,Mid (3-5 yrs)
sales representative,1 to 13 Years,Ljubljana,Intern,Enterprise,MCA,86500.0,Junior (1-2 yrs)
data engineer,4 to 13 Years,Moscow,Full-Time,Medium,BCA,94500.0,Mid (3-5 yrs)
nurse practitioner,0 to 15 Years,Porto-Novo,Intern,Medium,BBA,90500.0,Fresher (0 yrs)
marketing coordinator,3 to 11 Years,The City of Hamilton,Full-Time,Enterprise,B.Tech,73000.0,Mid (3-5 yrs)
systems engineer,5 to 9 Years,Tokyo,Temporary,Large,BBA,79500.0,Mid (3-5 yrs)
finance manager,2 to 14 Years,Nairobi,Full-Time,Enterprise,B.Com,93000.0,Junior (1-2 yrs)
hr manager,1 to 10 Years,Yaounde,Intern,Small,PhD,88500.0,Junior (1-2 yrs)
ux/ui designer,2 to 14 Years,Honiara,Intern,Medium,MCA,86000.0,Junior (1-2 yrs)
art teacher,1 to 12 Years,Riyadh,Temporary,Enterprise,M.Com,72000.0,Junior (1-2 yrs)
ux/ui designer,5 to 12 Years,SÃ£o TomÃ©,Part-Time,Enterprise,B.Com,71000.0,Mid (3-5 yrs)
account executive,2 to 11 Years,Thimphu,Temporary,Enterprise,M.Com,77500.0,Junior (1-2 yrs)
public relations specialist,3 to 8 Years,Kigali,Part-Time,Small,BCA,95500.0,Mid (3-5 yrs)
psychologist,1 to 10 Years,Kathmandu,Contract,Medium,B.Tech,90500.0,Junior (1-2 yrs)
investment banker,2 to 8 Years,Sucre (de jure),Full-Time,Small,BBA,85000.0,Junior (1-2 yrs)
marketing coordinator,4 to 8 Years,Kingston,Full-Time,Medium,BBA,90500.0,Mid (3-5 yrs)
veterinarian,0 to 13 Years,Nur-Sultan,Part-Time,Medium,M.Com,80500.0,Fresher (0 yrs)
it support specialist,2 to 8 Years,Moscow,Contract,Enterprise,BA,91500.0,Junior (1-2 yrs)
teacher,0 to 9 Years,Noumea,Contract,Small,BA,81000.0,Fresher (0 yrs)
it manager,2 to 9 Years,Bratislava,Part-Time,Small,M.Com,75500.0,Junior (1-2 yrs)
purchasing agent,0 to 11 Years,Mexico City,Intern,Large,BA,71500.0,Fresher (0 yrs)
civil engineer,1 to 9 Years,Antananarivo,Temporary,Large,BBA,85000.0,Junior (1-2 yrs)
office manager,5 to 12 Years,Dodoma,Contract,Large,B.Tech,78500.0,Mid (3-5 yrs)
seo analyst,2 to 8 Years,Paramaribo,Temporary,Medium,B.Tech,73500.0,Junior (1-2 yrs)
data analyst,0 to 11 Years,Tirana,Full-Time,Small,M.Com,84500.0,Fresher (0 yrs)
web developer,2 to 10 Years,Prague,Part-Time,Enterprise,B.Com,77500.0,Junior (1-2 yrs)
software engineer,5 to 10 Years,Yerevan,Intern,Large,M.Com,84000.0,Mid (3-5 yrs)
digital marketing specialist,1 to 14 Years,Djibouti (city),Part-Time,Small,BCA,70000.0,Junior (1-2 yrs)
nurse manager,2 to 9 Years,Ankara,Part-Time,Large,MCA,74500.0,Junior (1-2 yrs)
registered nurse,0 to 14 Years,Helsinki,Contract,Enterprise,MCA,76000.0,Fresher (0 yrs)
market research analyst,0 to 8 Years,Dili,Intern,Large,B.Com,94500.0,Fresher (0 yrs)
software architect,5 to 11 Years,George Town,Part-Time,Large,BBA,73000.0,Mid (3-5 yrs)
it manager,0 to 10 Years,Kingston,Full-Time,Small,M.Com,78000.0,Fresher (0 yrs)
mechanical engineer,4 to 9 Years,Ngerulmud,Part-Time,Medium,B.Tech,93500.0,Mid (3-5 yrs)
brand ambassador,0 to 10 Years,Jerusalem,Intern,Large,PhD,87000.0,Fresher (0 yrs)
administrative assistant,2 to 10 Years,Cairo,Part-Time,Medium,MCA,79500.0,Junior (1-2 yrs)
key account manager,1 to 11 Years,Algiers,Contract,Large,BCA,88000.0,Junior (1-2 yrs)
process engineer,1 to 15 Years,Bratislava,Intern,Small,BA,81000.0,Junior (1-2 yrs)
graphic designer,5 to 9 Years,Brazzaville,Part-Time,Large,M.Com,94500.0,Mid (3-5 yrs)
physician assistant,5 to 13 Years,Georgetown,Contract,Small,B.Com,80500.0,Mid (3-5 yrs)
marketing coordinator,4 to 15 Years,Addis Ababa,Temporary,Large,B.Tech,88500.0,Mid (3-5 yrs)
web designer,3 to 15 Years,Palikir,Temporary,Medium,BA,92500.0,Mid (3-5 yrs)
customer support specialist,2 to 15 Years,SÃ£o TomÃ©,Contract,Medium,M.Tech,79000.0,Junior (1-2 yrs)
research analyst,3 to 13 Years,Port Moresby,Intern,Medium,BCA,79500.0,Mid (3-5 yrs)
digital marketing specialist,2 to 8 Years,Kingstown,Part-Time,Small,MBA,74500.0,Junior (1-2 yrs)
brand ambassador,3 to 10 Years,Dushanbe,Full-Time,Small,B.Com,83500.0,Mid (3-5 yrs)
social media manager,3 to 14 Years,Athens,Intern,Enterprise,M.Com,89500.0,Mid (3-5 yrs)
java developer,2 to 8 Years,Bissau,Intern,Large,MBA,90000.0,Junior (1-2 yrs)
web developer,3 to 10 Years,Copenhagen,Full-Time,Large,BBA,93500.0,Mid (3-5 yrs)
product designer,1 to 9 Years,Canberra,Part-Time,Large,MCA,87000.0,Junior (1-2 yrs)
quality assurance analyst,2 to 14 Years,Bucharest,Full-Time,Medium,MBA,76000.0,Junior (1-2 yrs)
marketing specialist,4 to 9 Years,Majuro,Part-Time,Enterprise,BA,92500.0,Mid (3-5 yrs)
customer service manager,2 to 8 Years,Manila,Temporary,Small,MCA,97000.0,Junior (1-2 yrs)
it manager,2 to 15 Years,Moroni,Full-Time,Medium,B.Com,76000.0,Junior (1-2 yrs)
hr coordinator,0 to 14 Years,Maseru,Full-Time,Medium,B.Com,73000.0,Fresher (0 yrs)
supply chain analyst,0 to 12 Years,Apia,Part-Time,Small,B.Tech,75500.0,Fresher (0 yrs)
office manager,0 to 12 Years,Singapore,Contract,Large,B.Com,77000.0,Fresher (0 yrs)
research analyst,1 to 12 Years,Thimphu,Intern,Enterprise,B.Tech,84500.0,Junior (1-2 yrs)
paralegal,3 to 14 Years,Ouagadougou,Contract,Large,MCA,88000.0,Mid (3-5 yrs)
data analyst,1 to 14 Years,Stockholm,Contract,Large,BA,84500.0,Junior (1-2 yrs)
business analyst,4 to 12 Years,Athens,Part-Time,Large,B.Com,69500.0,Mid (3-5 yrs)
administrative assistant,1 to 11 Years,Kingston,Intern,Enterprise,M.Com,79500.0,Junior (1-2 yrs)
tax consultant,4 to 15 Years,Damascus,Part-Time,Large,B.Com,74000.0,Mid (3-5 yrs)
research scientist,0 to 14 Years,Djibouti (city),Temporary,Large,M.Com,83500.0,Fresher (0 yrs)
content writer,0 to 15 Years,Tokyo,Part-Time,Large,M.Com,73500.0,Fresher (0 yrs)
marketing manager,3 to 12 Years,Kigali,Intern,Medium,B.Tech,76500.0,Mid (3-5 yrs)
architectural designer,3 to 8 Years,"Malabo (de jure),",Contract,Enterprise,B.Com,77500.0,Mid (3-5 yrs)
investment analyst,3 to 9 Years,Prague,Full-Time,Large,BBA,76000.0,Mid (3-5 yrs)
mechanical engineer,5 to 15 Years,Moroni,Contract,Small,M.Com,73000.0,Mid (3-5 yrs)
customer support specialist,0 to 12 Years,Riyadh,Part-Time,Small,B.Com,83000.0,Fresher (0 yrs)
sales manager,1 to 12 Years,Port of Spain,Part-Time,Medium,BBA,74000.0,Junior (1-2 yrs)
human resources manager,1 to 13 Years,Ngerulmud,Contract,Small,BBA,91500.0,Junior (1-2 yrs)
hr coordinator,0 to 12 Years,Accra,Contract,Small,M.Com,85500.0,Fresher (0 yrs)
quality assurance analyst,5 to 11 Years,Kinshasa,Intern,Enterprise,BCA,92000.0,Mid (3-5 yrs)
landscape designer,0 to 12 Years,Moroni,Temporary,Large,B.Com,83500.0,Fresher (0 yrs)
software developer,0 to 11 Years,Havana,Contract,Medium,BA,97500.0,Fresher (0 yrs)
event planner,0 to 14 Years,Canberra,Contract,Small,B.Tech,94500.0,Fresher (0 yrs)
registered nurse,4 to 10 Years,Basseterre,Full-Time,Large,M.Tech,88500.0,Mid (3-5 yrs)
occupational therapist,3 to 12 Years,Singapore,Contract,Small,BCA,73500.0,Mid (3-5 yrs)
sales associate,5 to 13 Years,Amman,Temporary,Medium,MBA,75000.0,Mid (3-5 yrs)
public relations specialist,2 to 13 Years,New Delhi,Full-Time,Small,BA,89500.0,Junior (1-2 yrs)
aerospace engineer,1 to 12 Years,Manila,Temporary,Medium,MBA,86000.0,Junior (1-2 yrs)
operations manager,4 to 13 Years,Seoul,Contract,Large,PhD,94000.0,Mid (3-5 yrs)
mechanical engineer,1 to 12 Years,Berlin,Full-Time,Medium,B.Com,74500.0,Junior (1-2 yrs)
veterinarian,2 to 10 Years,Zagreb,Full-Time,Large,M.Tech,88000.0,Junior (1-2 yrs)
business analyst,1 to 14 Years,Kyiv (also known as Kiev),Temporary,Enterprise,BA,70000.0,Junior (1-2 yrs)
digital marketing specialist,1 to 15 Years,Ashgabat,Full-Time,Large,BA,94500.0,Junior (1-2 yrs)
litigation attorney,5 to 14 Years,SÃ£o TomÃ©,Temporary,Medium,MBA,85000.0,Mid (3-5 yrs)
operations manager,4 to 15 Years,Brasilia,Temporary,Small,BBA,72500.0,Mid (3-5 yrs)
network engineer,3 to 11 Years,Naypyidaw,Full-Time,Large,BCA,88500.0,Mid (3-5 yrs)
physician assistant,1 to 13 Years,Vienna,Contract,Small,BA,72500.0,Junior (1-2 yrs)
ux/ui designer,0 to 14 Years,Bissau,Temporary,Medium,B.Com,78500.0,Fresher (0 yrs)
data scientist,0 to 14 Years,Sofia,Full-Time,Medium,B.Com,89500.0,Fresher (0 yrs)
social worker,0 to 14 Years,Monaco,Intern,Enterprise,MBA,86500.0,Fresher (0 yrs)
marketing director,5 to 14 Years,Victoria,Temporary,Small,M.Tech,77500.0,Mid (3-5 yrs)
speech therapist,2 to 8 Years,Prague,Part-Time,Medium,MBA,86500.0,Junior (1-2 yrs)
sales manager,1 to 13 Years,Santiago,Part-Time,Medium,M.Tech,77500.0,Junior (1-2 yrs)
ux/ui designer,0 to 14 Years,Lisbon,Temporary,Small,PhD,80500.0,Fresher (0 yrs)
paralegal,1 to 12 Years,Georgetown,Contract,Small,BCA,77500.0,Junior (1-2 yrs)
pharmaceutical sales representative,3 to 8 Years,Valletta,Contract,Medium,BCA,75500.0,Mid (3-5 yrs)
interior designer,1 to 13 Years,Beirut,Temporary,Medium,PhD,78500.0,Junior (1-2 yrs)
teacher,3 to 8 Years,Ngerulmud,Temporary,Large,M.Tech,71000.0,Mid (3-5 yrs)
physical therapist,1 to 8 Years,Manama,Temporary,Medium,BCA,88500.0,Junior (1-2 yrs)
paralegal,2 to 11 Years,Baku,Temporary,Medium,B.Tech,83500.0,Junior (1-2 yrs)
marketing specialist,0 to 11 Years,Bratislava,Intern,Medium,M.Com,77500.0,Fresher (0 yrs)
process engineer,4 to 8 Years,Lilongwe,Contract,Enterprise,MCA,88000.0,Mid (3-5 yrs)
legal assistant,2 to 11 Years,Apia,Intern,Enterprise,MBA,89000.0,Junior (1-2 yrs)
structural engineer,5 to 15 Years,SÃ£o TomÃ©,Part-Time,Small,M.Com,79500.0,Mid (3-5 yrs)
account director,5 to 14 Years,Gibraltar,Intern,Medium,PhD,76000.0,Mid (3-5 yrs)
marketing specialist,3 to 12 Years,Dublin,Full-Time,Small,BCA,75500.0,Mid (3-5 yrs)
mechanical designer,1 to 8 Years,Nur-Sultan,Part-Time,Large,M.Tech,72000.0,Junior (1-2 yrs)
veterinarian,4 to 13 Years,Bishkek,Contract,Small,B.Com,70000.0,Mid (3-5 yrs)
database developer,4 to 15 Years,Douglas,Temporary,Small,BBA,94000.0,Mid (3-5 yrs)
ux/ui designer,2 to 14 Years,Bandar Seri Begawan,Intern,Small,BCA,85500.0,Junior (1-2 yrs)
human resources manager,2 to 8 Years,Belmopan,Intern,Large,MCA,86500.0,Junior (1-2 yrs)
back-end developer,1 to 10 Years,Lima,Temporary,Small,BCA,84500.0,Junior (1-2 yrs)
account manager,0 to 9 Years,Nouakchott,Intern,Small,MBA,91000.0,Fresher (0 yrs)
project manager,4 to 8 Years,Tunis,Part-Time,Enterprise,BA,72000.0,Mid (3-5 yrs)
product designer,2 to 8 Years,Budapest,Temporary,Small,PhD,93000.0,Junior (1-2 yrs)
aerospace engineer,3 to 11 Years,Male,Intern,Large,B.Tech,89500.0,Mid (3-5 yrs)
legal assistant,1 to 12 Years,Marigot,Contract,Large,B.Com,86000.0,Junior (1-2 yrs)
research scientist,1 to 11 Years,Kuala Lumpur,Full-Time,Enterprise,BA,94000.0,Junior (1-2 yrs)
digital marketing specialist,0 to 11 Years,Minsk,Full-Time,Small,B.Tech,80500.0,Fresher (0 yrs)
customer success manager,0 to 11 Years,Nassau,Intern,Medium,PhD,77000.0,Fresher (0 yrs)
customer support specialist,4 to 11 Years,Banjul,Full-Time,Large,B.Tech,76500.0,Mid (3-5 yrs)
event planner,4 to 9 Years,Tripoli,Intern,Small,BA,92500.0,Mid (3-5 yrs)
speech therapist,5 to 10 Years,Prague,Full-Time,Large,MBA,74500.0,Mid (3-5 yrs)
network engineer,5 to 8 Years,The City of Hamilton,Intern,Medium,M.Tech,91500.0,Mid (3-5 yrs)
chemical analyst,1 to 12 Years,Douglas,Part-Time,Large,MBA,71500.0,Junior (1-2 yrs)
landscape architect,2 to 11 Years,Gaborone,Part-Time,Large,B.Tech,75500.0,Junior (1-2 yrs)
pediatrician,2 to 14 Years,Ulaanbaatar,Full-Time,Enterprise,B.Tech,82500.0,Junior (1-2 yrs)
civil engineer,5 to 8 Years,Skopje,Contract,Enterprise,B.Com,88000.0,Mid (3-5 yrs)
front-end engineer,2 to 14 Years,Damascus,Contract,Small,MBA,81000.0,Junior (1-2 yrs)
business analyst,1 to 9 Years,Thimphu,Temporary,Large,M.Tech,86000.0,Junior (1-2 yrs)
hr coordinator,5 to 9 Years,Saint George's,Temporary,Large,BCA,75500.0,Mid (3-5 yrs)
chemical engineer,5 to 9 Years,Georgetown,Intern,Large,MCA,76000.0,Mid (3-5 yrs)
office manager,3 to 11 Years,Ouagadougou,Contract,Medium,B.Com,76000.0,Mid (3-5 yrs)
executive assistant,0 to 11 Years,Ashgabat,Intern,Enterprise,PhD,93500.0,Fresher (0 yrs)
operations manager,5 to 8 Years,Rome,Contract,Enterprise,MBA,76000.0,Mid (3-5 yrs)
data engineer,2 to 9 Years,Riga,Part-Time,Small,BCA,77000.0,Junior (1-2 yrs)
social media manager,4 to 10 Years,Willemstad,Intern,Small,B.Tech,84500.0,Mid (3-5 yrs)
database administrator,4 to 8 Years,Male,Intern,Enterprise,B.Com,78500.0,Mid (3-5 yrs)
procurement manager,1 to 8 Years,Kingston,Intern,Small,BA,91500.0,Junior (1-2 yrs)
veterinarian,3 to 11 Years,Freetown,Temporary,Enterprise,M.Tech,72000.0,Mid (3-5 yrs)
product manager,5 to 8 Years,Moscow,Part-Time,Medium,M.Com,85000.0,Mid (3-5 yrs)
ux/ui designer,1 to 12 Years,Valletta,Contract,Small,B.Com,73000.0,Junior (1-2 yrs)
chemical analyst,2 to 11 Years,Manila,Contract,Small,M.Com,76000.0,Junior (1-2 yrs)
copywriter,1 to 9 Years,Maputo,Intern,Medium,BCA,95000.0,Junior (1-2 yrs)
legal secretary,3 to 11 Years,Nuku?alofa,Temporary,Enterprise,BBA,90000.0,Mid (3-5 yrs)
dental hygienist,1 to 14 Years,Moscow,Temporary,Medium,B.Com,87000.0,Junior (1-2 yrs)
ux researcher,3 to 14 Years,Ulaanbaatar,Full-Time,Small,MBA,89500.0,Mid (3-5 yrs)
executive assistant,5 to 12 Years,Nuuk,Temporary,Small,BBA,82000.0,Mid (3-5 yrs)
sales representative,3 to 10 Years,Douglas,Temporary,Small,BCA,72500.0,Mid (3-5 yrs)
event planner,5 to 12 Years,Maputo,Part-Time,Small,MBA,92500.0,Mid (3-5 yrs)
network administrator,4 to 13 Years,San Marino,Temporary,Small,PhD,71500.0,Mid (3-5 yrs)
finance manager,2 to 14 Years,N'Djamena,Part-Time,Medium,BBA,87500.0,Junior (1-2 yrs)
graphic designer,1 to 12 Years,Saint George's,Intern,Small,B.Com,74000.0,Junior (1-2 yrs)
event planner,2 to 10 Years,Saint George's,Full-Time,Large,M.Com,69500.0,Junior (1-2 yrs)
administrative assistant,3 to 9 Years,Hanoi,Temporary,Medium,BBA,71500.0,Mid (3-5 yrs)
administrative assistant,4 to 15 Years,The City of Hamilton,Intern,Medium,B.Com,94000.0,Mid (3-5 yrs)
ux/ui designer,1 to 14 Years,Djibouti (city),Intern,Large,B.Tech,82000.0,Junior (1-2 yrs)
substance abuse counselor,1 to 13 Years,Monaco,Temporary,Small,M.Com,77000.0,Junior (1-2 yrs)
family lawyer,0 to 8 Years,Vienna,Full-Time,Medium,B.Tech,89000.0,Fresher (0 yrs)
hr generalist,5 to 11 Years,Charlotte Amalie,Temporary,Small,B.Com,88500.0,Mid (3-5 yrs)
landscape designer,4 to 12 Years,Asmara,Contract,Medium,PhD,90000.0,Mid (3-5 yrs)
copywriter,2 to 13 Years,Cairo,Temporary,Large,B.Tech,78000.0,Junior (1-2 yrs)
ui developer,0 to 9 Years,Georgetown,Full-Time,Small,BCA,86000.0,Fresher (0 yrs)
procurement specialist,3 to 10 Years,Podgorica,Full-Time,Large,MCA,85000.0,Mid (3-5 yrs)
technical writer,2 to 11 Years,Tarawa,Temporary,Large,B.Com,71000.0,Junior (1-2 yrs)
systems administrator,1 to 15 Years,Nouakchott,Temporary,Small,B.Tech,89000.0,Junior (1-2 yrs)
pediatrician,5 to 15 Years,Podgorica,Contract,Medium,PhD,74000.0,Mid (3-5 yrs)
network technician,1 to 10 Years,Thimphu,Part-Time,Medium,PhD,82000.0,Junior (1-2 yrs)
procurement specialist,4 to 12 Years,Seoul,Part-Time,Medium,PhD,83500.0,Mid (3-5 yrs)
tax consultant,5 to 10 Years,Port-au-Prince,Contract,Medium,B.Tech,85500.0,Mid (3-5 yrs)
financial advisor,5 to 10 Years,Bridgetown,Contract,Small,MCA,83500.0,Mid (3-5 yrs)
purchasing agent,3 to 10 Years,Mogadishu,Temporary,Enterprise,M.Tech,71500.0,Mid (3-5 yrs)
content writer,3 to 13 Years,Ankara,Part-Time,Medium,MCA,72500.0,Mid (3-5 yrs)
legal advisor,0 to 13 Years,Havana,Part-Time,Medium,B.Tech,72500.0,Fresher (0 yrs)
ux/ui designer,4 to 9 Years,Kingstown,Intern,Small,B.Com,79500.0,Mid (3-5 yrs)
business development manager,5 to 9 Years,Sanaa,Contract,Large,MBA,90500.0,Mid (3-5 yrs)
hr coordinator,5 to 14 Years,Seoul,Temporary,Large,BA,86500.0,Mid (3-5 yrs)
marketing manager,0 to 14 Years,Vaduz,Temporary,Small,BCA,81500.0,Fresher (0 yrs)
executive assistant,0 to 15 Years,Nuku?alofa,Intern,Small,BBA,72000.0,Fresher (0 yrs)
architect,5 to 9 Years,Ottawa,Temporary,Large,BCA,74000.0,Mid (3-5 yrs)
dental hygienist,4 to 8 Years,Banjul,Full-Time,Large,MCA,74500.0,Mid (3-5 yrs)
event planner,5 to 11 Years,Luxembourg,Temporary,Large,M.Tech,79500.0,Mid (3-5 yrs)
family nurse practitioner,2 to 14 Years,Algiers,Intern,Large,M.Com,84500.0,Junior (1-2 yrs)
brand ambassador,5 to 12 Years,Montevideo,Part-Time,Large,PhD,88000.0,Mid (3-5 yrs)
copywriter,1 to 12 Years,SÃ£o TomÃ©,Intern,Large,BBA,93500.0,Junior (1-2 yrs)
network administrator,1 to 8 Years,Hagatna,Full-Time,Small,PhD,92000.0,Junior (1-2 yrs)
chemical analyst,1 to 10 Years,Freetown,Contract,Medium,M.Tech,87000.0,Junior (1-2 yrs)
marketing coordinator,2 to 13 Years,Nairobi,Intern,Small,B.Tech,88500.0,Junior (1-2 yrs)
hr coordinator,0 to 15 Years,Sofia,Temporary,Medium,M.Com,73000.0,Fresher (0 yrs)
aerospace engineer,3 to 13 Years,Apia,Temporary,Small,M.Tech,75000.0,Mid (3-5 yrs)
copywriter,0 to 11 Years,Vaduz,Temporary,Enterprise,B.Tech,85500.0,Fresher (0 yrs)
quality assurance analyst,1 to 9 Years,Moroni,Contract,Enterprise,PhD,81500.0,Junior (1-2 yrs)
network administrator,4 to 14 Years,New Delhi,Temporary,Small,PhD,71500.0,Mid (3-5 yrs)
legal assistant,5 to 12 Years,Djibouti (city),Full-Time,Medium,BA,83000.0,Mid (3-5 yrs)
